entry_id,source_form,source_register,source_variety,gloss_en,source_note,candidate_msn_headword,candidate_search_key,search_fallbacks_json,rule_trace
kw::amantzi::1,amantzi,EHN_colloquial,Eastern Huasteca Nahuatl,right now,rule_based_from_source_form,amantsi,amantsi,"[""amantzi"", ""amantsi""]",z > s
kw::amatl::6,amatl,EHN_colloquial,Eastern Huasteca Nahuatl,paper.,rule_based_from_source_form,amatl,amatl,"[""amatl""]",identity
kw::amatl::7,amatl,EHN_colloquial,Eastern Huasteca Nahuatl,book.,rule_based_from_source_form,amatl,amatl,"[""amatl""]",identity
kw::amatlahcuilolli::2,amatlahcuilolli,EHN_colloquial,Eastern Huasteca Nahuatl,A letter.,rule_based_from_source_form,amatlahkuilolli,amatlahkuilolli,"[""amatlahcuilolli"", ""amatlacuilolli"", ""amatlahkuilolli"", ""amatlakuilolli""]",hard c > k
kw::amelli::1,amelli,EHN_colloquial,Eastern Huasteca Nahuatl,well.,rule_based_from_source_form,amelli,amelli,"[""amelli""]",identity
kw::amigo::1,amigo,EHN_colloquial,Eastern Huasteca Nahuatl,friend,rule_based_from_source_form,amigo,amigo,"[""amigo""]",identity
kw::amohuanti::1,amohuanti,EHN_colloquial,Eastern Huasteca Nahuatl,second person; you (plural),rule_based_from_source_form,amowanti,amowanti,"[""amohuanti"", ""amouanti"", ""amowanti""]",hu> w before vowel
kw::apipiyalotl::2,apipiyalotl,EHN_colloquial,Eastern Huasteca Nahuatl,dragonfly,rule_based_from_source_form,apipiyalotl,apipiyalotl,"[""apipiyalotl""]",identity
kw::apolin::1,apolin,EHN_colloquial,Eastern Huasteca Nahuatl,capulin,rule_based_from_source_form,apolin,apolin,"[""apolin""]",identity
kw::aqui::1,aqui,EHN_colloquial,Eastern Huasteca Nahuatl,to be (negative).,rule_based_from_source_form,aki,aki,"[""aqui"", ""aki"", ""aci""]",qu > k before front vowel
kw::astatl::3,astatl,EHN_colloquial,Eastern Huasteca Nahuatl,heron.,rule_based_from_source_form,astatl,astatl,"[""astatl""]",identity
kw::atemitl::2,atemitl,EHN_colloquial,Eastern Huasteca Nahuatl,river.,rule_based_from_source_form,atemitl,atemitl,"[""atemitl""]",identity
kw::atl::6,atl,EHN_colloquial,Eastern Huasteca Nahuatl,water,rule_based_from_source_form,atl,atl,"[""atl""]",identity
kw::atli::2,atli,EHN_colloquial,Eastern Huasteca Nahuatl,to drink water.,rule_based_from_source_form,atli,atli,"[""atli""]",identity
kw::awakatl::2,awakatl,EHN_colloquial,Eastern Huasteca Nahuatl,avocado,rule_based_from_source_form,awakatl,awakatl,"[""awakatl"", ""ahuacatl""]",identity
kw::awiyak::1,awiyak,EHN_colloquial,Eastern Huasteca Nahuatl,tasty.,rule_based_from_source_form,awiyak,awiyak,"[""awiyak"", ""ahuiyac""]",identity
kw::awiyak::2,awiyak,EHN_colloquial,Eastern Huasteca Nahuatl,good-smelling.,rule_based_from_source_form,awiyak,awiyak,"[""awiyak"", ""ahuiyac""]",identity
kw::ax-aqui::1,ax aqui,EHN_colloquial,Eastern Huasteca Nahuatl,nobody,rule_based_from_source_form,ax aki,ax aki,"[""ax aqui"", ""ax aki"", ""ax aci""]",qu > k before front vowel
kw::ax-cualli::1,ax cualli,EHN_colloquial,Eastern Huasteca Nahuatl,bad.,rule_based_from_source_form,ax kualli,ax kualli,"[""ax cualli"", ""ax kualli""]",hard c > k
kw::ax-quema::1,ax quema,EHN_colloquial,Eastern Huasteca Nahuatl,never,rule_based_from_source_form,ax kema,ax kema,"[""ax quema"", ""ax kema"", ""ax cema""]",qu > k before front vowel
kw::ax-tleno::1,ax tleno,EHN_colloquial,Eastern Huasteca Nahuatl,you're welcome.,rule_based_from_source_form,ax tleno,ax tleno,"[""ax tleno""]",identity
kw::ax::1,ax,EHN_colloquial,Eastern Huasteca Nahuatl,not,rule_based_from_source_form,ax,ax,"[""ax""]",identity
kw::axcahua::1,axcahua,EHN_colloquial,Eastern Huasteca Nahuatl,sheep.,rule_based_from_source_form,axkawa,axkawa,"[""axcahua"", ""axcaua"", ""axkawa""]",hu> w before vowel; hard c > k
kw::axcaneli::1,axcaneli,EHN_colloquial,Eastern Huasteca Nahuatl,ant.,rule_based_from_source_form,axkaneli,axkaneli,"[""axcaneli"", ""axkaneli""]",hard c > k
kw::axtle::1,axtle,EHN_colloquial,Eastern Huasteca Nahuatl,"no, negative response.",rule_based_from_source_form,axtle,axtle,"[""axtle""]",identity
kw::axtlen::1,axtlen,EHN_colloquial,Eastern Huasteca Nahuatl,"think nothing of it, you're welcome, don't mention it",rule_based_from_source_form,axtlen,axtlen,"[""axtlen""]",identity
kw::aya::1,aya,EHN_colloquial,Eastern Huasteca Nahuatl,not yet,rule_based_from_source_form,aya,aya,"[""aya""]",identity
kw::ayohtli::3,ayohtli,EHN_colloquial,Eastern Huasteca Nahuatl,"gourd, squash.",rule_based_from_source_form,ayohtli,ayohtli,"[""ayohtli"", ""ayotli""]",identity
kw::ayotl::7,ayotl,EHN_colloquial,Eastern Huasteca Nahuatl,turtle.,rule_based_from_source_form,ayotl,ayotl,"[""ayotl""]",identity
kw::azoltic::1,azoltic,EHN_colloquial,Eastern Huasteca Nahuatl,blue.,rule_based_from_source_form,asoltik,asoltik,"[""azoltic"", ""asoltik"", ""asoltic""]",z > s; hard c > k
kw::burro::1,burro,EHN_colloquial,Eastern Huasteca Nahuatl,donkey.,rule_based_from_source_form,burro,burro,"[""burro""]",identity
kw::cafe::1,cafe,EHN_colloquial,Eastern Huasteca Nahuatl,coffee,rule_based_from_source_form,kafe,kafe,"[""cafe"", ""kafe""]",hard c > k
kw::cahualtoahui::1,cahualtoahui,EHN_colloquial,Eastern Huasteca Nahuatl,widow (female).,rule_based_from_source_form,kawaltoawi,kawaltoawi,"[""cahualtoahui"", ""caualtoaui"", ""kawaltoawi""]",hu> w before vowel; hard c > k
kw::cahualtotlayi::1,cahualtotlayi,EHN_colloquial,Eastern Huasteca Nahuatl,widow (male).,rule_based_from_source_form,kawaltotlayi,kawaltotlayi,"[""cahualtotlayi"", ""caualtotlayi"", ""kawaltotlayi""]",hu> w before vowel; hard c > k
kw::cahuatlehco::1,cahuatlehco,EHN_colloquial,Eastern Huasteca Nahuatl,to ride a horse.,rule_based_from_source_form,kawatlehko,kawatlehko,"[""cahuatlehco"", ""cauatleco"", ""kawatlehko"", ""kawatleko""]",hu> w before vowel; hard c > k
kw::cahuayo::2,cahuayo,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of kawayo,explicit_gloss_target,kawayo,kawayo,"[""cahuayo"", ""cauayo"", ""kawayo""]",gloss target: kawayo
kw::calaqui::2,calaqui,EHN_colloquial,Eastern Huasteca Nahuatl,to enter.,rule_based_from_source_form,kalaki,kalaki,"[""calaqui"", ""kalaki"", ""calaci""]",qu > k before front vowel; hard c > k
kw::calendario::1,calendario,EHN_colloquial,Eastern Huasteca Nahuatl,calendar,rule_based_from_source_form,kalendario,kalendario,"[""calendario"", ""kalendario""]",hard c > k
kw::cali::1,cali,EHN_colloquial,Eastern Huasteca Nahuatl,alternative spelling of calli (“house”),explicit_gloss_target,kalli (“house”),kalli (“house”),"[""cali"", ""kalli (“house”)"", ""kalli (“ouse”)"", ""calli (“house”)""]",gloss target: calli (“house”); hard c > k
kw::calli::5,calli,EHN_colloquial,Eastern Huasteca Nahuatl,house.,rule_based_from_source_form,kalli,kalli,"[""calli"", ""kalli""]",hard c > k
kw::caltlacame::1,caltlacame,EHN_colloquial,Eastern Huasteca Nahuatl,alternative spelling of caltlacameh,explicit_gloss_target,kaltlakameh,kaltlakameh,"[""caltlacame"", ""kaltlakameh"", ""kaltlakame"", ""caltlacameh""]",gloss target: caltlacameh; hard c > k
kw::caltlacameh::1,caltlacameh,EHN_colloquial,Eastern Huasteca Nahuatl,plural of caltlacatl,rule_based_from_source_form,kaltlakameh,kaltlakameh,"[""caltlacameh"", ""caltlacame"", ""kaltlakameh"", ""kaltlakame""]",hard c > k
kw::caltlacatl::1,caltlacatl,EHN_colloquial,Eastern Huasteca Nahuatl,person.,rule_based_from_source_form,kaltlakatl,kaltlakatl,"[""caltlacatl"", ""kaltlakatl""]",hard c > k
kw::camanali::1,camanali,EHN_colloquial,Eastern Huasteca Nahuatl,alternative spelling of camanalli (“word”),explicit_gloss_target,kamanalli (“word”),kamanalli (“word”),"[""camanali"", ""kamanalli (“word”)"", ""camanalli (“huord”)""]",gloss target: camanalli (“word”); hard c > k
kw::camanalistli::1,camanalistli,EHN_colloquial,Eastern Huasteca Nahuatl,alternative spelling of camanaliztli (“story”),explicit_gloss_target,kamanalistli (“story”),kamanalistli (“story”),"[""camanalistli"", ""kamanalistli (“story”)"", ""camanalistli (“story”)""]",gloss target: camanaliztli (“story”); z > s; hard c > k
kw::camanaliztli::1,camanaliztli,EHN_colloquial,Eastern Huasteca Nahuatl,story.,rule_based_from_source_form,kamanalistli,kamanalistli,"[""camanaliztli"", ""kamanalistli"", ""camanalistli""]",z > s; hard c > k
kw::camanalli::2,camanalli,EHN_colloquial,Eastern Huasteca Nahuatl,word.,rule_based_from_source_form,kamanalli,kamanalli,"[""camanalli"", ""kamanalli""]",hard c > k
kw::camanalli::3,camanalli,EHN_colloquial,Eastern Huasteca Nahuatl,language.,rule_based_from_source_form,kamanalli,kamanalli,"[""camanalli"", ""kamanalli""]",hard c > k
kw::camanalohquetl::1,camanalohquetl,EHN_colloquial,Eastern Huasteca Nahuatl,speaker.,rule_based_from_source_form,kamanalohketl,kamanalohketl,"[""camanalohquetl"", ""camanaloquetl"", ""kamanalohketl"", ""kamanaloketl"", ""camanalohcetl""]",qu > k before front vowel; hard c > k
kw::camanalohua::1,camanalohua,EHN_colloquial,Eastern Huasteca Nahuatl,to speak.,rule_based_from_source_form,kamanalowa,kamanalowa,"[""camanalohua"", ""camanaloua"", ""kamanalowa""]",hu> w before vowel; hard c > k
kw::camanaltiquetl::1,camanaltiquetl,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of kamanaltiketl,explicit_gloss_target,kamanaltiketl,kamanaltiketl,"[""camanaltiquetl"", ""kamanaltiketl"", ""camanalticetl""]",gloss target: kamanaltiketl
kw::camati::1,camati,EHN_colloquial,Eastern Huasteca Nahuatl,to speak.,rule_based_from_source_form,kamati,kamati,"[""camati"", ""kamati""]",hard c > k
kw::camohtli::3,camohtli,EHN_colloquial,Eastern Huasteca Nahuatl,sweet potato.,rule_based_from_source_form,kamohtli,kamohtli,"[""camohtli"", ""camotli"", ""kamohtli"", ""kamotli""]",hard c > k
kw::campa::4,campa,EHN_colloquial,Eastern Huasteca Nahuatl,where,rule_based_from_source_form,kampa,kampa,"[""campa"", ""kampa""]",hard c > k
kw::canque::1,canque,EHN_colloquial,Eastern Huasteca Nahuatl,where,rule_based_from_source_form,kanke,kanke,"[""canque"", ""kanke"", ""cance""]",qu > k before front vowel; hard c > k
kw::canque::2,canque,EHN_colloquial,Eastern Huasteca Nahuatl,"whither, to where.",rule_based_from_source_form,kanke,kanke,"[""canque"", ""kanke"", ""cance""]",qu > k before front vowel; hard c > k
kw::carro::1,carro,EHN_colloquial,Eastern Huasteca Nahuatl,car.,rule_based_from_source_form,karro,karro,"[""carro"", ""karro""]",hard c > k
kw::carro::2,carro,EHN_colloquial,Eastern Huasteca Nahuatl,chariot.,rule_based_from_source_form,karro,karro,"[""carro"", ""karro""]",hard c > k
kw::cartilla::1,cartilla,EHN_colloquial,Eastern Huasteca Nahuatl,"card, book",rule_based_from_source_form,kartilla,kartilla,"[""cartilla"", ""kartilla""]",hard c > k
kw::caxtiltecacamanali::1,caxtiltecacamanali,EHN_colloquial,Eastern Huasteca Nahuatl,alternative spelling of caxtiltecacamanalli,explicit_gloss_target,kaxtiltekakamanalli,kaxtiltekakamanalli,"[""caxtiltecacamanali"", ""kaxtiltekakamanalli"", ""caxtiltecacamanalli""]",gloss target: caxtiltecacamanalli; hard c > k
kw::caxtiltecacamanalli::1,caxtiltecacamanalli,EHN_colloquial,Eastern Huasteca Nahuatl,the Spanish language.,rule_based_from_source_form,kaxtiltekakamanalli,kaxtiltekakamanalli,"[""caxtiltecacamanalli"", ""kaxtiltekakamanalli""]",hard c > k
kw::caxtolli::2,caxtolli,EHN_colloquial,Eastern Huasteca Nahuatl,fifteen.,rule_based_from_source_form,kaxtolli,kaxtolli,"[""caxtolli"", ""kaxtolli""]",hard c > k
kw::cayochi::1,cayochi,EHN_colloquial,Eastern Huasteca Nahuatl,fox.,rule_based_from_source_form,kayochi,kayochi,"[""cayochi"", ""cayoci"", ""kayochi"", ""kayoci""]",hard c > k
kw::ce::3,ce,EHN_colloquial,Eastern Huasteca Nahuatl,one.,rule_based_from_source_form,se,se,"[""ce"", ""se""]",soft c > s
kw::cecuiliztli::1,cecuiliztli,EHN_colloquial,Eastern Huasteca Nahuatl,the cold.,rule_based_from_source_form,sekuilistli,sekuilistli,"[""cecuiliztli"", ""sekuilistli"", ""secuilistli""]",soft c > s; z > s; hard c > k
kw::cenquiztoc::1,cenquiztoc,EHN_colloquial,Eastern Huasteca Nahuatl,pure.,rule_based_from_source_form,senkistok,senkistok,"[""cenquiztoc"", ""senkistok"", ""sencistoc""]",qu > k before front vowel; soft c > s; z > s; hard c > k
kw::cequinoc::1,cequinoc,EHN_colloquial,Eastern Huasteca Nahuatl,plural of ceyoc,rule_based_from_source_form,sekinok,sekinok,"[""cequinoc"", ""sekinok"", ""secinoc""]",qu > k before front vowel; soft c > s; hard c > k
kw::cetl::4,cetl,EHN_colloquial,Eastern Huasteca Nahuatl,ice.,rule_based_from_source_form,setl,setl,"[""cetl"", ""setl""]",soft c > s
kw::ceyoc::1,ceyoc,EHN_colloquial,Eastern Huasteca Nahuatl,other.,rule_based_from_source_form,seyok,seyok,"[""ceyoc"", ""seyok"", ""seyoc""]",soft c > s; hard c > k
kw::chalchokotl::2,chalchokotl,EHN_colloquial,Eastern Huasteca Nahuatl,guava,rule_based_from_source_form,chalchokotl,chalchokotl,"[""chalchokotl"", ""calcokotl"", ""chalchocotl""]",identity
kw::chancaca::1,chancaca,EHN_colloquial,Eastern Huasteca Nahuatl,panela (solid piece of unrefined sugar).,rule_based_from_source_form,chankaka,chankaka,"[""chancaca"", ""cancaca"", ""chankaka"", ""cankaka""]",hard c > k
kw::chapoli::3,chapoli,EHN_colloquial,Eastern Huasteca Nahuatl,grasshopper.,rule_based_from_source_form,chapoli,chapoli,"[""chapoli"", ""capoli""]",identity
kw::chapolin::3,chapolin,EHN_colloquial,Eastern Huasteca Nahuatl,grasshopper.,rule_based_from_source_form,chapolin,chapolin,"[""chapolin"", ""capolin""]",identity
kw::chapopohtli::1,chapopohtli,EHN_colloquial,Eastern Huasteca Nahuatl,tar.,rule_based_from_source_form,chapopohtli,chapopohtli,"[""chapopohtli"", ""capopotli""]",identity
kw::chapopohtli::2,chapopohtli,EHN_colloquial,Eastern Huasteca Nahuatl,asphalt.,rule_based_from_source_form,chapopohtli,chapopohtli,"[""chapopohtli"", ""capopotli""]",identity
kw::chapuli::1,chapuli,EHN_colloquial,Eastern Huasteca Nahuatl,"alternative spelling of chapoli, grasshopper",explicit_gloss_target,chapoli,chapoli,"[""chapuli"", ""capuli"", ""chapoli"", ""capoli""]",gloss target: chapoli
kw::chicahuac::2,chicahuac,EHN_colloquial,Eastern Huasteca Nahuatl,strong.,rule_based_from_source_form,chikawak,chikawak,"[""chicahuac"", ""cicauac"", ""chikawak"", ""cikawak""]",hu> w before vowel; hard c > k
kw::chicahualiztli::1,chicahualiztli,EHN_colloquial,Eastern Huasteca Nahuatl,strength.,rule_based_from_source_form,chikawalistli,chikawalistli,"[""chicahualiztli"", ""cicaualiztli"", ""chikawalistli"", ""cikawalistli"", ""chicahualistli""]",hu> w before vowel; z > s; hard c > k
kw::chichi::5,chichi,EHN_colloquial,Eastern Huasteca Nahuatl,dog.,rule_based_from_source_form,chichi,chichi,"[""chichi"", ""cici""]",identity
kw::chichiltic::3,chichiltic,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of chichiltik,explicit_gloss_target,chichiltik,chichiltik,"[""chichiltic"", ""ciciltic"", ""chichiltik"", ""ciciltik""]",gloss target: chichiltik
kw::chichiltik::3,chichiltik,EHN_colloquial,Eastern Huasteca Nahuatl,red,rule_based_from_source_form,chichiltik,chichiltik,"[""chichiltik"", ""ciciltik"", ""chichiltic""]",identity
kw::chichimichin::2,chichimichin,EHN_colloquial,Eastern Huasteca Nahuatl,dolphin,rule_based_from_source_form,chichimichin,chichimichin,"[""chichimichin"", ""cicimicin""]",identity
kw::chicnahui::2,chicnahui,EHN_colloquial,Eastern Huasteca Nahuatl,nine.,rule_based_from_source_form,chiknawi,chiknawi,"[""chicnahui"", ""cicnaui"", ""chiknawi"", ""ciknawi""]",hu> w before vowel; hard c > k
kw::chicome::3,chicome,EHN_colloquial,Eastern Huasteca Nahuatl,seven.,rule_based_from_source_form,chikome,chikome,"[""chicome"", ""cicome"", ""chikome"", ""cikome""]",hard c > k
kw::chicuace::3,chicuace,EHN_colloquial,Eastern Huasteca Nahuatl,six.,rule_based_from_source_form,chikuase,chikuase,"[""chicuace"", ""cicuace"", ""chikuase"", ""cikuase"", ""chicuase""]",soft c > s; hard c > k
kw::chicueyi::2,chicueyi,EHN_colloquial,Eastern Huasteca Nahuatl,eight.,rule_based_from_source_form,chikueyi,chikueyi,"[""chicueyi"", ""cicueyi"", ""chikueyi"", ""cikueyi""]",hard c > k
kw::chikotzapotl::1,chikotzapotl,EHN_colloquial,Eastern Huasteca Nahuatl,sapodilla,rule_based_from_source_form,chikotsapotl,chikotsapotl,"[""chikotzapotl"", ""cikotzapotl"", ""chikotsapotl"", ""cikotsapotl"", ""chicotzapotl""]",z > s
kw::chilcaxitl::1,chilcaxitl,EHN_colloquial,Eastern Huasteca Nahuatl,"Molcajete, a traditional Mexican stone tool, equivalent in function to a mortar and pestle, used for grinding food.",rule_based_from_source_form,chilkaxitl,chilkaxitl,"[""chilcaxitl"", ""cilcaxitl"", ""chilkaxitl"", ""cilkaxitl""]",hard c > k
kw::chilcoz::1,chilcoz,EHN_colloquial,Eastern Huasteca Nahuatl,orange,rule_based_from_source_form,chilkos,chilkos,"[""chilcoz"", ""cilcoz"", ""chilkos"", ""cilkos"", ""chilcos""]",z > s; hard c > k
kw::chilli::3,chilli,EHN_colloquial,Eastern Huasteca Nahuatl,chili pepper.,rule_based_from_source_form,chilli,chilli,"[""chilli"", ""cilli""]",identity
kw::chilxokotl::1,chilxokotl,EHN_colloquial,Eastern Huasteca Nahuatl,strawberry,rule_based_from_source_form,chilxokotl,chilxokotl,"[""chilxokotl"", ""cilxokotl"", ""chilxocotl""]",identity
kw::chipahuac::2,chipahuac,EHN_colloquial,Eastern Huasteca Nahuatl,white.,rule_based_from_source_form,chipawak,chipawak,"[""chipahuac"", ""cipauac"", ""chipawak"", ""cipawak""]",hu> w before vowel; hard c > k
kw::chipohtli::1,chipohtli,EHN_colloquial,Eastern Huasteca Nahuatl,tick,rule_based_from_source_form,chipohtli,chipohtli,"[""chipohtli"", ""cipotli""]",identity
kw::chivo::1,chivo,EHN_colloquial,Eastern Huasteca Nahuatl,goat,rule_based_from_source_form,chivo,chivo,"[""chivo"", ""civo""]",identity
kw::chocolatl::3,chocolatl,EHN_colloquial,Eastern Huasteca Nahuatl,chocolate,rule_based_from_source_form,chokolatl,chokolatl,"[""chocolatl"", ""cocolatl"", ""chokolatl"", ""cokolatl""]",hard c > k
kw::cholohua::1,cholohua,EHN_colloquial,Eastern Huasteca Nahuatl,to flee.,rule_based_from_source_form,cholowa,cholowa,"[""cholohua"", ""coloua"", ""cholowa"", ""colowa""]",hu> w before vowel
kw::ciento::1,ciento,EHN_colloquial,Eastern Huasteca Nahuatl,hundred.,rule_based_from_source_form,siento,siento,"[""ciento"", ""siento""]",soft c > s
kw::cihuamizto::1,cihuamizto,EHN_colloquial,Eastern Huasteca Nahuatl,cat,rule_based_from_source_form,siwamisto,siwamisto,"[""cihuamizto"", ""ciuamizto"", ""siwamisto"", ""sihuamisto""]",hu> w before vowel; soft c > s; z > s
kw::cihuapil::1,cihuapil,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of siwapil,explicit_gloss_target,siwapil,siwapil,"[""cihuapil"", ""ciuapil"", ""siwapil"", ""sihuapil""]",gloss target: siwapil
kw::cihuapilmeh::1,cihuapilmeh,EHN_colloquial,Eastern Huasteca Nahuatl,plural of cihuapil,rule_based_from_source_form,siwapilmeh,siwapilmeh,"[""cihuapilmeh"", ""ciuapilme"", ""siwapilmeh"", ""siwapilme"", ""sihuapilmeh""]",hu> w before vowel; soft c > s
kw::cihuatl::4,cihuatl,EHN_colloquial,Eastern Huasteca Nahuatl,obsolete spelling of siwatl,explicit_gloss_target,siwatl,siwatl,"[""cihuatl"", ""ciuatl"", ""siwatl"", ""sihuatl""]",gloss target: siwatl
kw::cilchilli::1,cilchilli,EHN_colloquial,Eastern Huasteca Nahuatl,pequin pepper.,rule_based_from_source_form,silchilli,silchilli,"[""cilchilli"", ""cilcilli"", ""silchilli"", ""silcilli""]",soft c > s
kw::ciltomatl::1,ciltomatl,EHN_colloquial,Eastern Huasteca Nahuatl,tomatillo,rule_based_from_source_form,siltomatl,siltomatl,"[""ciltomatl"", ""siltomatl""]",soft c > s
kw::cimolotl::1,cimolotl,EHN_colloquial,Eastern Huasteca Nahuatl,cob(corn).,rule_based_from_source_form,simolotl,simolotl,"[""cimolotl"", ""simolotl""]",soft c > s
kw::cincuahuitl::1,cincuahuitl,EHN_colloquial,Eastern Huasteca Nahuatl,cuttings.,rule_based_from_source_form,sinkuawitl,sinkuawitl,"[""cincuahuitl"", ""cincuauitl"", ""sinkuawitl"", ""sincuahuitl""]",hu> w before vowel; soft c > s; hard c > k
kw::cinolotl::1,cinolotl,EHN_colloquial,Eastern Huasteca Nahuatl,cob(corn).,rule_based_from_source_form,sinolotl,sinolotl,"[""cinolotl"", ""sinolotl""]",soft c > s
